id,admitted_major,admitted_school,location
0,金融硕士,圣路易斯华盛顿大学,美国
1,金融数学理学硕士,纽约大学,美国
2,商业分析理学硕士,哥伦比亚大学,美国
3,计量金融与风险管理硕士,密歇根大学安娜堡分校,美国
4,计量金融与风险管理硕士,密歇根大学安娜堡分校,美国
5,金融工程,康奈尔大学,美国
6,商业分析与风险管理理学硕士,约翰霍普金斯大学,美国
7,金融数学硕士,约翰霍普金斯大学,美国
8,金融理学硕士,约翰霍普金斯大学,美国
9,金融硕士,罗切斯特大学,美国
10,商业分析理学硕士,维克森林大学,美国
11,计量金融硕士,福特汉姆大学,美国
12,金融硕士,波士顿学院,美国
13,房地产,纽约大学,美国
14,企业风险管理硕士,哥伦比亚大学,美国
15,数学金融,波士顿大学,美国
16,房地产与基础设施,约翰霍普金斯大学,美国
17,金融硕士,布兰迪斯大学,美国
18,金融,德州大学达拉斯分校,美国
19,国际供应链管理理学硕士,南加州大学,美国
20,物流工程商业硕士,俄亥俄州立大学哥伦布分校,美国
21,金融工程硕士,纽约大学,美国
22,供应链管理理学硕士,伦斯勒理工学院,美国
23,金融工程理学硕士,哥伦比亚大学,美国
24,金融工程理学硕士,哥伦比亚大学,美国
25,管理科学与工程理学硕士,哥伦比亚大学,美国
26,金融工程硕士,纽约大学,美国
27,应用经济与管理学硕士,康奈尔大学,美国
28,金融工程硕士,纽约大学,美国
29,金融工程硕士,纽约大学,美国
30,金融数学理学硕士,纽约大学,美国
31,计算科学与工程,哈佛大学,美国
32,酒店管理硕士,康奈尔大学,美国
33,金融工程专业,加州大学伯克利分校,美国
34,市场营销理学硕士,约翰霍普金斯大学,美国
35,工商管理学硕士,乔治城大学,美国
36,经济学,塔夫斯大学,美国
37,经济学,德州大学奥斯汀分校,美国
38,国际经济与金融,布兰迪斯大学,美国
39,应用经济学文学硕士,密歇根大学安娜堡分校,美国
40,应用经济学文学硕士,密歇根大学安娜堡分校,美国
41,经济学,威斯康星大学麦迪逊分校,美国
42,经济学,波士顿学院,美国
43,会计理学硕士,南卫理公会大学,美国
44,金融工程,伊利诺伊大学香槟分校,美国
45,应用金融学,佩珀代因大学,美国
46,商业分析与工程管理,康涅狄格大学,美国
47,经济学,北卡罗来纳州立大学罗利分校,美国
48,经济学,塔夫斯大学,美国
49,金融,约翰霍普金斯大学,美国
50,金融硕士,麻省理工学院,美国
51,经济学,德州大学奥斯汀分校,美国
52,商业分析,乔治·华盛顿大学,美国
53,信息系统管理,卡耐基梅隆大学,美国
54,金融数学硕士,芝加哥大学,美国
55,信息科学与技术,匹兹堡大学,美国
56,金融数学,哥伦比亚大学,美国
57,信息科学与技术,匹兹堡大学,美国
58,金融硕士,麻省理工学院,美国
59,信息科学,康奈尔大学,美国
60,工商管理硕士,斯坦福大学,美国
61,金融,约翰霍普金斯大学,美国
62,金融,凯斯西储大学,美国
63,会计,德雷赛尔大学,美国
64,运筹学,哥伦比亚大学,美国
65,市场营销,约翰霍普金斯大学,美国
66,金融学,杜兰大学,美国
67,金融,东北大学,美国
68,全球金融,福特汉姆大学,美国
69,金融,雪城大学,美国
70,金融,雪城大学,美国
71,会计,马里兰大学帕克分校,美国
72,国际贸易,佛罗里达大学,美国
73,金融分析,里海大学,美国
74,市场营销,约翰霍普金斯大学,美国
75,客户分析,圣路易斯华盛顿大学,美国
76,经济学硕士,杜克大学,美国
77,MBA项目,伦斯勒理工学院,美国
78,贸易硕士,弗吉尼亚大学,美国
79,管理硕士,密歇根大学安娜堡分校,美国
80,金融,马里兰大学帕克分校,美国
81,会计,匹兹堡大学,美国
82,会计与信息分析,里海大学,美国
83,市场分析,马里兰大学帕克分校,美国
84,市场营销,约翰霍普金斯大学,美国
85,金融,雪城大学,美国
86,应用金融学,佩珀代因大学,美国
87,金融,马里兰大学帕克分校,美国
88,会计,伊利诺伊大学香槟分校,美国
89,管理研究硕士,杜克大学,美国
90,金融理学硕士,约翰霍普金斯大学,美国
91,金融硕士,圣路易斯华盛顿大学,美国
92,金融理学硕士,约翰霍普金斯大学,美国
93,信息管理理学硕士,雪城大学,美国
94,金融工程硕士,纽约大学,美国
95,金融硕士,加州大学圣地亚哥分校,美国
96,商业分析理学硕士,圣路易斯华盛顿大学,美国
97,商业分析理学硕士,罗切斯特大学,美国
98,商业分析理学硕士,维克森林大学,美国
99,整合市场营销理学硕士,纽约大学,美国
100,金融数学硕士,哥伦比亚大学,美国
101,信息科学理学硕士,匹兹堡大学,美国
102,政策经济学理学硕士,伊利诺伊大学香槟分校,美国
103,信息技术硕士,罗格斯大学,美国
104,市场分析理学硕士,本特利大学,美国
105,信息系统硕士,斯蒂文斯理工学院,美国
106,全球发展经济学文学硕士,波士顿大学,美国
107,应用经济学文学硕士,乔治·华盛顿大学,美国
108,金融数学理学硕士,芝加哥大学,美国
109,金融工程理学硕士,哥伦比亚大学,美国
110,经济学文学硕士,杜克大学,美国
111,金融理学硕士,约翰霍普金斯大学,美国
112,量化管理硕士,杜克大学,美国
113,管理学,福特汉姆大学,美国
114,整合营销传播理学硕士,西北大学,美国
115,经济学,德州大学奥斯汀分校,美国
116,应用经济学,密歇根大学安娜堡分校,美国
117,金融,约翰霍普金斯大学,美国
118,企业风险管理,约翰霍普金斯大学,美国
119,经济学文学硕士,德州大学奥斯汀分校,美国
120,经济学文学硕士,波士顿大学,美国
121,会计,匹兹堡大学,美国
122,计算金融,卡耐基梅隆大学,美国
123,信息系统与运营管理,佛罗里达大学,美国
124,管理硕士,杜克大学,美国
125,会计,纽约州立大学宾汉姆顿分校,美国
126,金融,约翰霍普金斯大学,美国
127,金融,马里兰大学帕克分校,美国
128,会计学,福特汉姆大学,美国
129,会计,雪城大学,美国
130,全球金融,福特汉姆大学,美国
131,管理,佛罗里达大学,美国
132,金融,约翰霍普金斯大学,美国
133,应用经济学硕士,约翰霍普金斯大学,美国
134,项目管理,圣路易斯华盛顿大学,美国
135,商业分析,伦斯勒理工学院,美国
136,营销情报,福特汉姆大学,美国
137,金融,雪城大学,美国
138,全球金融,福特汉姆大学,美国
139,企业项目管理,斯蒂文斯理工学院,美国
140,金融,雪城大学,美国
141,会计,乔治·华盛顿大学,美国
142,应用金融学,佩珀代因大学,美国
