id,bg1,bg2,bg3,bg4,bg5,bg6,bg7,bg8,bg9,bg10,bg11,bg12,bg13,bg14,bg15
0,光大证券股份有限公司实习,昆仑信托有限责任公司实习,中信证券股份有限公司实习,潍柴动力和法国Baudouin公司品牌冲突问题解决方案,中国大学生创业大赛,,,,,,,,,,
1,安信证券股份有限公司研究部实习生,科研论文《上海自贸区促进区域经济增长吗？——基于弹性网络模型研究》,上海浦东发展银行实习,校级大创项目,中天运会计师事务所实习,课程设计若干,,,,,,,,,
2,安信证券股份有限公司研究部实习生,科研论文《上海自贸区促进区域经济增长吗？——基于弹性网络模型研究》,上海浦东发展银行实习,校级大创项目,中天运会计师事务所实习,课程设计若干,,,,,,,,,
3,德勤审计实习,华泰证券项目实习,课程设计：居民性别观念研究,湖北银琅兴科技发展有限公司实习,泰康人寿威海支公司实习,,,,,,,,,,
4,国泰君安证券投行部实习,KPMG审计实习,未明学院量化课程,课程设计若干,美国大学生数学建模竞赛s奖,,,,,,,,,,
5,安信证券股份有限公司研究部实习生,科研论文《上海自贸区促进区域经济增长吗？——基于弹性网络模型研究》,上海浦东发展银行实习,校级大创项目,中天运会计师事务所实习,课程设计若干,,,,,,,,,
6,安永审计实习,山东省工商银行实习,2019大学生数模竞赛,创业创新计划,课题研究：农户联保小额贷款风险管理,山东大学管理学院商业经营案例分析大赛二等奖,,,,,,,,,
7,国泰君安证券投行部实习,KPMG审计实习,未明学院量化课程,课程设计若干,美国大学生数学建模竞赛s奖,,,,,,,,,,
8,某基金公司实习,加州大学伯克利交换,美国大学生数学建模竞赛二等奖,专题调研若干,国内期刊一作论文,,,,,,,,,,
9,某基金公司实习,加州大学伯克利交换,美国大学生数学建模竞赛二等奖,专题调研若干,国内期刊一作论文,,,,,,,,,,
10,某基金公司实习,加州大学伯克利交换,美国大学生数学建模竞赛二等奖,专题调研若干,国内期刊一作论文,,,,,,,,,,
11,嘉实基金量化分析实习,武汉金亚泰仪器设备有限公司数据分析部门,中国工商银行南昌洪都大道支行公司信贷部,汉口银行武汉洪山支行风险管理部,昆山杜克大学（GlobalLearningSemester项目,,,,,,,,,,
12,北京量化前沿科技有限公司金融产品实习生,赛领资本管理有限公司投融资部实习生,美国大学生数学建模比赛H奖,中国及欧盟碳排放权交易价格波动性特征研究,,,,,,,,,,,
