,idErr,reasons
0,23,MISSING BACKGROUND
1,24,MISSING BACKGROUND
2,25,MISSING BACKGROUND
3,26,MISSING BACKGROUND
4,27,MISSING BACKGROUND
5,28,MISSING BACKGROUND
6,29,MISSING BACKGROUND
7,30,MISSING BACKGROUND
8,31,MISSING BACKGROUND
9,32,MISSING BACKGROUND
10,33,MISSING BACKGROUND
11,34,MISSING BACKGROUND
12,35,MISSING BACKGROUND
13,36,MISSING BACKGROUND
14,37,MISSING BACKGROUND
15,38,MISSING BACKGROUND
16,39,MISSING BACKGROUND
17,40,MISSING BACKGROUND
18,41,MISSING BACKGROUND
19,42,MISSING BACKGROUND
20,43,MISSING BACKGROUND
21,44,MISSING BACKGROUND
22,45,MISSING BACKGROUND
23,46,MISSING GPA
24,47,MISSING BACKGROUND
25,48,MISSING BACKGROUND
26,50,MISSING BACKGROUND
27,51,MISSING BACKGROUND
28,52,MISSING LANGUAGE
29,53,MISSING BACKGROUND
30,54,MISSING BACKGROUND
31,55,MISSING BACKGROUND
32,56,MISSING BACKGROUND
33,57,MISSING BACKGROUND
34,58,MISSING BACKGROUND
35,59,MISSING BACKGROUND
36,60,MISSING BACKGROUND
37,64,MISSING BACKGROUND
38,65,MISSING BACKGROUND
39,70,MISSING BACKGROUND
40,71,MISSING BACKGROUND
41,72,MISSING BACKGROUND
42,73,MISSING BACKGROUND
43,74,MISSING BACKGROUND
44,75,MISSING BACKGROUND
45,76,MISSING BACKGROUND
46,77,MISSING BACKGROUND
47,78,MISSING BACKGROUND
48,79,MISSING BACKGROUND
49,80,MISSING BACKGROUND
50,81,MISSING BACKGROUND
51,82,MISSING BACKGROUND
52,83,MISSING BACKGROUND
53,84,MISSING BACKGROUND
54,85,MISSING BACKGROUND
55,86,MISSING BACKGROUND
56,87,MISSING BACKGROUND
57,88,MISSING LANGUAGE
58,88,MISSING BACKGROUND
59,108,MISSING BACKGROUND
60,109,MISSING BACKGROUND
61,110,MISSING BACKGROUND
62,111,MISSING BACKGROUND
63,112,MISSING BACKGROUND
64,113,MISSING BACKGROUND
65,114,MISSING BACKGROUND
66,116,MISSING BACKGROUND
67,117,MISSING BACKGROUND
68,118,MISSING BACKGROUND
69,119,MISSING BACKGROUND
70,120,MISSING BACKGROUND
71,122,MISSING BACKGROUND
72,123,MISSING BACKGROUND
