id,title,digest,url,author,publish_time
"1","互联网*9&nbsp;|&nbsp;腾讯、滴滴、美团等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496398&idx=1&sn=d1c73043254e5d908496d95f87a05890&chksm=e9f92d20de8ea436b852e19727e59882c8f3083486bcf9f27a0d3df373bcaf39e7752a3298ba&scene=27#wechat_redirect","Yan","2020-05-08 18:00:00"
"2","咨询*10&nbsp;|&nbsp;小米战投、平安科技战略、埃森哲等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496398&idx=2&sn=af6cead09591cdbd76950fa7ca42b562&chksm=e9f92d20de8ea436d7287bc8ab9b72eafd13115654c0cf97433602a324b75cad18befe24dc67&scene=27#wechat_redirect","Yan","2020-05-08 18:00:00"
"3","金融*23&nbsp;|&nbsp;深创投、华兴资本、中金等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496398&idx=3&sn=b2e8cc5bf6db618dd337c895d53ca678&chksm=e9f92d20de8ea436cdc4e584df01096db3ffd4740a412649236c5c5f0fa4ff4d93c561474fbd&scene=27#wechat_redirect","Yan","2020-05-08 18:00:00"
"4","多行业*5&nbsp;|&nbsp;联合利华、蔚来汽车实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496398&idx=4&sn=96daa8711798af217159e49926dcee33&chksm=e9f92d20de8ea43696bbeb7d50cf9fa4f9dbd756556e0eca90c66a5fba1fa09dc3f2bb709297&scene=27#wechat_redirect","Yan","2020-05-08 18:00:00"
"5","互联网*7&nbsp;|&nbsp;腾讯、美团、滴滴出行、京东、eBay等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496386&idx=1&sn=38256fe511d2736315414e0b7c8f5f50&chksm=e9f92d2cde8ea43ad7f5d4f8d1755b5ff5f483482510bdaa382448f75d33b1c66d4ef3cb47c5&scene=27#wechat_redirect","","2020-05-07 08:00:00"
"6","咨询*3&nbsp;|&nbsp;平安战略、德勤咨询等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496386&idx=2&sn=ffd1b4305e0b5f2052d7883012ead4c7&chksm=e9f92d2cde8ea43ad9805464d781d48bf8a65bf2c7b120dd9dd7a2bd07c0f6526618ec62edd3&scene=27#wechat_redirect","","2020-05-07 08:00:00"
"7","金融*12&nbsp;|&nbsp;汉能投资、青桐资本等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496386&idx=3&sn=209b3e9be0dc1c0733baad5f5ec4ebbf&chksm=e9f92d2cde8ea43ae34d495fc460043b018ab01d9597caf58948250610fd3af14a57617f2018&scene=27#wechat_redirect","","2020-05-07 08:00:00"
"8","多行业*1&nbsp;|&nbsp;爱谨科技实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496386&idx=4&sn=b07cc16704869ac3ab9f1ecf65d5ba0a&chksm=e9f92d2cde8ea43a066e0de5de17d21a19f988977c1517af6b5336f9011ba2538afd1759507f&scene=27#wechat_redirect","","2020-05-07 08:00:00"
"9","平均薪资2.2W！应届生不限，这个岗位却少有人了解........","有空还是多逛逛招聘网站吧……","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496383&idx=1&sn=db8b06a71b696373cab504a97ffc5f74&chksm=e9f92d51de8ea4474903bb9b6cb874962c4ace3aad994464c47c5ba10a416ccf37a300b8190c&scene=27#wechat_redirect","小灶能力派","2020-05-06 08:00:00"
"10","互联网*16&nbsp;|&nbsp;腾讯、字节跳动、微软、滴滴、京东、网易等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496383&idx=2&sn=89b6d6dde7e36094b2abbd2fd1d58842&chksm=e9f92d51de8ea447cb302c09754d3d7cb32f79be4b20b73649bd155ddc30804f3096314caf9a&scene=27#wechat_redirect","JC","2020-05-06 08:00:00"
